date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:05	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:04%20GMT	http://milkywayinfotech.in/search-engine-optimization	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/search-engine-optimization.html	(from http://milkywayinfotech.in/)
09:26:05	69674/69674	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Apr%202021%2010:33:02%20GMT	https://www.milkywayinfotech.in/public/front/img/milkyway-services.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/milkyway-services.png	(from http://milkywayinfotech.in/)
09:26:06	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:06%20GMT	http://milkywayinfotech.in/social-media-marketing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/social-media-marketing.html	(from http://milkywayinfotech.in/)
09:26:07	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:06%20GMT	http://milkywayinfotech.in/social-media-optimization	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/social-media-optimization.html	(from http://milkywayinfotech.in/)
09:26:08	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:07%20GMT	http://milkywayinfotech.in/website-audit-and-analysis	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/website-audit-and-analysis.html	(from http://milkywayinfotech.in/)
09:26:08	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:08%20GMT	http://milkywayinfotech.in/bulk-sms	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/bulk-sms.html	(from http://milkywayinfotech.in/)
09:26:09	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:09%20GMT	http://milkywayinfotech.in/content-marketing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/content-marketing.html	(from http://milkywayinfotech.in/)
09:26:10	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:09%20GMT	http://milkywayinfotech.in/email-marketing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/email-marketing.html	(from http://milkywayinfotech.in/)
09:26:11	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:10%20GMT	http://milkywayinfotech.in/google-adwords	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/google-adwords.html	(from http://milkywayinfotech.in/)
09:26:11	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:11%20GMT	http://milkywayinfotech.in/google-analytics	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/google-analytics.html	(from http://milkywayinfotech.in/)
09:26:12	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:12%20GMT	http://milkywayinfotech.in/online-reputation-management	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/online-reputation-management.html	(from http://milkywayinfotech.in/)
09:26:13	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:12%20GMT	http://milkywayinfotech.in/email-template-designing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/email-template-designing.html	(from http://milkywayinfotech.in/)
09:26:14	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:13%20GMT	http://milkywayinfotech.in/parallex-website-designing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/parallex-website-designing.html	(from http://milkywayinfotech.in/)
09:26:15	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:14%20GMT	http://milkywayinfotech.in/responsive-website-designing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/responsive-website-designing.html	(from http://milkywayinfotech.in/)
09:26:16	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:15%20GMT	http://milkywayinfotech.in/static-website-designing	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/static-website-designing.html	(from http://milkywayinfotech.in/)
09:26:17	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:16%20GMT	http://milkywayinfotech.in/website-redesigning	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/website-redesigning.html	(from http://milkywayinfotech.in/)
09:26:17	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:17%20GMT	http://milkywayinfotech.in/website-mantainnence	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/website-mantainnence.html	(from http://milkywayinfotech.in/)
09:26:18	19015/19015	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2003:56:17%20GMT	http://milkywayinfotech.in/digital-designing-services	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/digital-designing-services.html	(from http://milkywayinfotech.in/)
